"issn","journal_title","publisher","data_journal_type"
"2052-1847","BMC Sports Science Medicine and Rehabilitation","BioMed Central (Springer Nature)","mixed"
"2052-4463","Scientific Data","Springer Nature","mixed"
"2191-5040","Journal of Applied Volcanology","BioMed Central (Springer Nature)","mixed"
"2194-7899","Health & Justice","BioMed Central (Springer Nature)","mixed"
"2196-2804","International Journal of Food Contamination","BioMed Central (Springer Nature)","mixed"
"2661-801X","BMC Chemistry","BioMed Central (Springer Nature)","mixed"
"1683-1470","Data Science Journal","Ubiquity Press","mixed"
"1991-9603","Geoscientific Model Development","Copernicus","pure"
"2049-9647","Journal of Open Research Software","Ubiquity Press","mixed"
"1520-5134","Journal of Chemical & Engineering Data","American Chemical Society","pure"
"1529-7845","Journal of Physical and Chemical Reference Data","American Institute of Physics","pure"
"0090-3752","Nuclear Data Sheets","Elsevier","pure"
"1363-5387","Internet Archaeology","Council for British Archaeology","mixed"
"2054-7102","Open Health Data","Ubiquity Press","pure"
"2306-5729","Data","MDPI","mixed"
"2352-3409","Data in Brief","Elsevier","pure"
"2405-8300","Chemical Data Collections","Elsevier","pure"
"2452-3666","Research Data Journal for the Humanities and Social Sciences","Brill","pure"
"1464-3685","International Journal of Epidemiology","Oxford University Press","mixed"
"1538-4365","The Astrophysical Journal Supplement Series","IOP","pure"
"2352-6378","Open Data Journal for Agricultural Research","Wageningen University & Research Library","pure"
"2056-5542","Open Journal of Bioresources","Ubiquity Press","pure"
"1440-1703","Ecological Research","Blackwell Publishing (Wiley)","mixed"
"2312-6604","Freshwater Metadata Journal","University of Natural Resources and Life Sciences Vienna","pure"
"1297-966X","Annals of Forest Science","BioMed Central (Springer Nature)","mixed"
"2242-1300","BioInvasions Records","Regional Euro-Asian Biological Invasions Centre","mixed"
"2056-3132","BMC Zoology","BioMed Central (Springer Nature)","mixed"
"1278-3366","Cybergeo","OpenEdition","mixed"
"1758-0463","Database","Oxford University Press","mixed"
"2639-5916","Ecosystems and People","Taylor & Francis","mixed"
"2050-084X","eLife","eLife Sciences Publications","mixed"
"2197-5620","Forest Ecosystems","Elsevier","mixed"
"2110-7017","International Economics","Elsevier","mixed"
"1537-2537","Journal of Environmental Quality","John Wiley & Sons (Wiley)","mixed"
"2534-9708","Metabarcoding and Metagenomics","Pensoft Publishers","mixed"
"1943-7706","Molecular Plant - Microbe Interactions","APS Publications","mixed"
"1362-4962","Nucleic Acids Research","Oxford University Press","mixed"
"2363-7501","Open Geospatial Data Software and Standards","Springer Open (Springer Nature)","mixed"
"2471-2906","Phytobiomes Journal","APS Publications","mixed"
"1943-7684","Phytopathology","APS Publications","mixed"
"1471-9053","Plant and Cell Physiology","Oxford University Press","mixed"
"1943-7692","Plant Disease","APS Publications","mixed"
"1365-313X","The Plant Journal","Blackwell Publishing (Wiley)","mixed"
"2578-2703","The Plant Phenome Journal","John Wiley & Sons (Wiley)","mixed"
"2578-9430","microPublication Biology","Caltech Library","pure"
"2367-8194","One Ecosystem","Pensoft Publishers","mixed"
"2367-7163","Research Ideas and Outcomes","Pensoft Publishers","mixed"
"2398-502X","Wellcome Open Research","F1000 Research","mixed"
"2414-3146","IUCrData","International Union of Crystallography","pure"
